No,Cluster,Question,Suggested slug,Funnel stage,Priority
52,How tutoring works,Is half term or Easter tutoring worth booking?,is-half-term-tutoring-worth-it,Middle,Medium
53,How tutoring works,Can tutoring happen before school or at weekends?,weekend-and-early-morning-tutoring,Bottom,Low
54,How tutoring works,How much homework should a tutor be setting?,how-much-homework-should-a-tutor-set,Middle,Low
55,Timing,When is the best time of year to start tutoring?,best-time-of-year-to-start-tutoring,Middle,High
56,Timing,Is January of Year 11 too late to get a tutor?,is-january-year-11-too-late-for-a-tutor,Middle,High
57,Timing,How many weeks before an exam should tutoring start?,how-many-weeks-before-exams-to-start-tutoring,Middle,High
58,Timing,How long do most children need a tutor for?,how-long-do-children-need-a-tutor,Middle,Medium
59,Timing,When should we stop tutoring?,when-to-stop-tutoring,Bottom,Medium
60,Timing,Should we book a tutor now or wait for mock results?,book-a-tutor-now-or-wait-for-mocks,Bottom,High
61,Timing,Do good tutors get booked up and when should I secure one?,when-do-tutors-get-booked-up,Bottom,High
62,Timing,Is summer tutoring before Year 11 worth it?,summer-tutoring-before-year-11,Middle,High
63,Timing,Should A-Level tutoring start in Year 12 or Year 13?,a-level-tutoring-year-12-or-year-13,Middle,High
64,Timing,Is it worth getting a tutor just for the mocks?,is-a-tutor-worth-it-just-for-mocks,Middle,Medium
65,Alternatives and comparisons,Tutoring agency vs online marketplace: what is the real difference?,tutoring-agency-vs-marketplace,Middle,High
66,Alternatives and comparisons,MyTutor Superprof or an agency: which gives better value?,mytutor-vs-superprof-vs-agency,Middle,High
67,Alternatives and comparisons,Can an AI tutor or revision app replace a real tutor?,ai-tutor-vs-real-tutor,Middle,High
68,Alternatives and comparisons,Are revision courses better value than weekly tutoring?,revision-courses-vs-weekly-tutoring,Middle,Medium
69,Alternatives and comparisons,Is an Easter revision bootcamp worth the money?,are-easter-revision-courses-worth-it,Middle,Medium
70,Alternatives and comparisons,Should we pay for tutoring when school runs free revision sessions?,tutoring-vs-school-revision-sessions,Middle,Medium
71,Alternatives and comparisons,Can I just tutor my own child?,can-i-tutor-my-own-child,Top,Medium
72,Alternatives and comparisons,Is free or school-funded tutoring any good?,is-free-tutoring-any-good,Middle,Medium
73,Alternatives and comparisons,Does my child need a subject tutor or a study skills coach?,subject-tutor-vs-study-skills-coach,Middle,Medium
74,Alternatives and comparisons,Group revision classes or one-to-one: which suits my child?,group-classes-vs-one-to-one-tutoring,Middle,Medium
75,Alternatives and comparisons,Is a revision subscription a cheaper alternative to a tutor?,revision-subscription-vs-tutor,Middle,Low
76,Alternatives and comparisons,Do school teachers do private tutoring and can I ask ours?,can-i-hire-my-childs-teacher-as-a-tutor,Middle,Medium
77,Terms and commitment,Do I have to sign a contract for tutoring?,do-you-sign-a-contract-for-tutoring,Bottom,Medium
78,Terms and commitment,How do tutors take payment and should I ever pay upfront?,how-do-you-pay-for-tutoring,Bottom,High
79,Terms and commitment,Should I buy a block of lessons in advance?,should-i-buy-a-block-of-tutoring-lessons,Bottom,Medium
80,Terms and commitment,What is a normal tutor cancellation policy?,tutor-cancellation-policy,Bottom,High
81,Terms and commitment,Do I still pay if my child is ill or on a school trip?,do-you-pay-for-a-missed-tutoring-session,Bottom,Medium
82,Terms and commitment,Can we pause tutoring over the holidays or during exams?,can-you-pause-tutoring,Bottom,Medium
83,Terms and commitment,Is there any tax relief or funding help for tutoring?,is-tutoring-tax-deductible-uk,Middle,Low
84,Terms and commitment,Are there payment plans or monthly options for tutoring?,tutoring-payment-plans,Bottom,Medium
85,Terms and commitment,What happens if we don't get on with the tutor we're matched with?,what-if-you-dont-like-your-tutor,Bottom,High
86,Terms and commitment,Is there a notice period to stop tutoring?,notice-period-to-stop-tutoring,Bottom,Medium
87,Specific situations,Can we get a tutor for a November GCSE resit?,tutoring-for-november-gcse-resits,Bottom,High
88,Specific situations,My child failed GCSE maths — what are our options now?,failed-gcse-maths-what-next,Middle,High
89,Specific situations,Can a tutor help a child who has been out of school?,tutoring-for-children-out-of-school,Middle,Medium
90,Specific situations,Is tutoring suitable for children with ADHD autism or dyslexia?,tutoring-for-send-adhd-dyslexia,Middle,High
91,Specific situations,Can a tutor help with exam anxiety rather than the subject itself?,tutoring-for-exam-anxiety,Middle,High
92,Specific situations,Can a tutor help with coursework or an NEA?,can-a-tutor-help-with-coursework,Bottom,Medium
93,Specific situations,Can a tutor help with the UCAS personal statement?,tutoring-for-ucas-personal-statements,Bottom,High
94,Specific situations,Can we get UK tutoring if we live abroad or in another time zone?,uk-tutoring-from-abroad,Bottom,Medium
95,Specific situations,Do tutors prepare children for entrance exams and interviews?,tutoring-for-entrance-exams-and-interviews,Middle,Medium
96,Specific situations,Can a tutor help with a remark appeal or resit decision after results day?,tutor-help-after-results-day,Middle,Medium
97,Parent objections,Will my child resent me for getting them a tutor?,will-my-child-resent-having-a-tutor,Top,High
98,Parent objections,Will the school think we are overstepping if we hire a tutor?,what-schools-think-about-private-tutors,Top,Medium
99,Parent objections,Should we tell the school our child has a tutor?,should-you-tell-the-school-about-a-tutor,Top,Medium
100,Parent objections,Is private tutoring an unfair advantage?,is-private-tutoring-unfair,Top,Medium
